jugg_price_rank,internal_player_id,fantasypros_id,player_name,position,nfl_team,expected_jugg_price_if_drafted,price_range_low,price_range_high,range_basis,espn_salary_cap_value,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,missing_inputs
1,nfl:gsis:00-0039139,22968,Jahmyr Gibbs,RB,DET,73.7,67.6,79.7,historical_forward_error_p80:RB,57,1.0,1.0,301.624,62,
2,nfl:gsis:00-0038542,23133,Bijan Robinson,RB,ATL,70.5,64.5,76.6,historical_forward_error_p80:RB,56,2.0,2.0,290.24,68,
3,nfl:gsis:00-0036900,19788,Ja'Marr Chase,WR,CIN,63.8,57.1,70.5,historical_forward_error_p80:WR,56,3.0,3.0,214.816,71,
4,nfl:gsis:00-0033280,16393,Christian McCaffrey,RB,SF,62.4,56.4,68.5,historical_forward_error_p80:RB,53,6.0,5.0,256.421,66,
5,nfl:gsis:00-0039075,23180,Puka Nacua,WR,LAR,59.8,53.1,66.5,historical_forward_error_p80:WR,55,4.0,4.0,222.78,40,
6,nfl:gsis:00-0036223,19217,Jonathan Taylor,RB,IND,57.7,51.7,63.8,historical_forward_error_p80:RB,52,7.0,7.0,267.246,37,
7,nfl:gsis:00-0038543,23070,Jaxon Smith-Njigba,WR,SEA,55.0,48.3,61.7,historical_forward_error_p80:WR,54,5.0,6.0,213.255,23,
8,nfl:gsis:00-0036963,19799,Amon-Ra St. Brown,WR,DET,53.0,46.4,59.7,historical_forward_error_p80:WR,52,8.0,8.0,202.382,51,
9,nfl:gsis:00-0037248,22958,James Cook III,RB,BUF,51.4,45.3,57.4,historical_forward_error_p80:RB,46,12.0,9.0,237.241,33,
10,nfl:gsis:00-0036358,19202,CeeDee Lamb,WR,DAL,50.3,43.6,57.0,historical_forward_error_p80:WR,51,9.0,10.0,175.539,62,
11,nfl:gsis:00-0034844,17240,Saquon Barkley,RB,PHI,49.7,43.6,55.8,historical_forward_error_p80:RB,42,13.0,11.0,222.911,67,
