jugg_price_rank,internal_player_id,fantasypros_id,player_name,position,nfl_team,expected_jugg_price_if_drafted,uncalibrated_model_price,price_range_low,price_range_high,range_basis,draft_probability,draft_likelihood,espn_salary_cap_value,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,missing_inputs
1,nfl:gsis:00-0039139,22968,Jahmyr Gibbs,RB,DET,74.2,73.3,68.1,80.3,historical_forward_error_p80:RB,0.9625,very_likely,57,1.0,1.0,301.79,62,
2,nfl:gsis:00-0038542,23133,Bijan Robinson,RB,ATL,70.2,69.3,64.1,76.3,historical_forward_error_p80:RB,0.9683,very_likely,56,2.0,2.0,279.753,68,
3,nfl:gsis:00-0036900,19788,Ja'Marr Chase,WR,CIN,63.6,62.8,56.4,70.7,historical_forward_error_p80:WR,0.9199,very_likely,56,3.0,3.0,214.78,71,
4,nfl:gsis:00-0033280,16393,Christian McCaffrey,RB,SF,62.4,61.6,56.3,68.5,historical_forward_error_p80:RB,0.9648,very_likely,53,6.0,5.0,256.249,66,
5,nfl:gsis:00-0039075,23180,Puka Nacua,WR,LAR,60.8,60.0,53.6,67.9,historical_forward_error_p80:WR,0.9298,very_likely,55,4.0,4.0,222.78,40,
6,nfl:gsis:00-0036223,19217,Jonathan Taylor,RB,IND,60.1,59.3,54.0,66.1,historical_forward_error_p80:RB,0.9728,very_likely,52,7.0,6.0,267.245,37,
7,nfl:gsis:00-0038543,23070,Jaxon Smith-Njigba,WR,SEA,54.9,54.2,47.8,62.0,historical_forward_error_p80:WR,0.9407,very_likely,54,5.0,7.0,215.301,23,
8,nfl:gsis:00-0036963,19799,Amon-Ra St. Brown,WR,DET,53.4,52.8,46.3,60.6,historical_forward_error_p80:WR,0.9176,very_likely,52,8.0,8.0,202.449,51,
9,nfl:gsis:00-0037248,22958,James Cook III,RB,BUF,52.4,51.8,46.4,58.5,historical_forward_error_p80:RB,0.995,very_likely,46,11.0,9.0,237.275,33,
10,nfl:gsis:00-0036358,19202,CeeDee Lamb,WR,DAL,50.2,49.6,43.1,57.3,historical_forward_error_p80:WR,0.9305,very_likely,51,9.0,10.0,175.577,62,
11,nfl:gsis:00-0034844,17240,Saquon Barkley,RB,PHI,49.3,48.7,43.2,55.4,historical_forward_error_p80:RB,0.995,very_likely,42,13.0,11.0,222.912,67,
12,nfl:gsis:00-0039040,23136,De'Von Achane,RB,MIA,48.1,47.5,42.0,54.2,historical_forward_error_p80:RB,0.995,very_likely,45,10.0,14.0,227.067,52,
13,nfl:gsis:00-0032764,15514,Derrick Henry,RB,BAL,47.7,47.1,41.6,53.7,historical_forward_error_p80:RB,0.9278,very_likely,48,15.0,17.0,255.675,58,
14,nfl:gsis:00-0036322,19236,Justin Jefferson,WR,MIN,47.3,46.7,40.2,54.5,historical_forward_error_p80:WR,0.9152,very_likely,50,12.0,12.0,173.862,54,
15,nfl:gsis:00-0040122,25989,Ashton Jeanty,RB,LV,45.5,45.0,39.5,51.6,historical_forward_error_p80:RB,0.995,very_likely,40,14.0,13.0,204.084,51,
16,nfl:gsis:00-0038134,23021,Kenneth Walker III,RB,KC,41.3,40.8,35.2,47.3,historical_forward_error_p80:RB,0.995,very_likely,37,20.0,15.0,212.287,24,
17,nfl:gsis:00-0038597,25324,Chase Brown,RB,CIN,40.1,39.6,34.0,46.2,historical_forward_error_p80:RB,0.995,very_likely,32,18.0,16.0,214.848,46,
18,nfl:gsis:00-0037238,23163,Drake London,WR,ATL,39.2,38.7,32.1,46.3,historical_forward_error_p80:WR,0.9752,very_likely,43,16.0,19.0,177.928,41,
19,nfl:gsis:00-0040666,25395,Omarion Hampton,RB,LAC,38.4,37.9,32.3,44.5,historical_forward_error_p80:RB,0.995,very_likely,36,24.0,18.0,203.938,35,
20,nfl:gsis:00-0039338,22955,Brock Bowers,TE,LV,34.8,34.3,30.0,39.5,historical_forward_error_p80:TE,0.9275,very_likely,34,23.0,21.0,147.045,41,
21,nfl:gsis:00-0041027,25403,Jeremiyah Love,RB,ARI,34.8,34.4,28.7,40.9,historical_forward_error_p80:RB,0.995,very_likely,38,22.0,27.0,201.284,,prior_jugg_salary
22,nfl:gsis:00-0034857,17298,Josh Allen,QB,BUF,34.3,33.9,29.5,39.0,historical_forward_error_p80:QB,0.995,very_likely,22,19.0,20.0,399.898,38,
23,nfl:gsis:00-0037744,22936,Trey McBride,TE,ARI,33.9,33.5,29.2,38.7,historical_forward_error_p80:TE,0.995,very_likely,35,17.0,25.0,147.108,30,
24,nfl:gsis:00-0036554,20130,Nico Collins,WR,HOU,31.2,30.8,24.1,38.3,historical_forward_error_p80:WR,0.995,very_likely,31,26.0,22.0,165.402,42,
25,nfl:gsis:00-0035676,18218,A.J. Brown,WR,NE,30.0,29.6,22.9,37.1,historical_forward_error_p80:WR,0.995,very_likely,30,25.0,24.0,168.638,37,
26,nfl:gsis:00-0037247,22963,George Pickens,WR,DAL,28.6,28.3,21.5,35.7,historical_forward_error_p80:WR,0.995,very_likely,29,27.0,23.0,169.501,5,
27,nfl:gsis:00-0038120,22982,Breece Hall,RB,NYJ,28.4,28.0,22.3,34.4,historical_forward_error_p80:RB,0.995,very_likely,33,30.0,35.0,198.939,21,
28,nfl:gsis:00-0035700,18269,Josh Jacobs,RB,GB,28.0,27.6,21.9,34.0,historical_forward_error_p80:RB,0.995,very_likely,27,33.0,32.0,208.381,44,
29,nfl:gsis:00-0037840,23059,Kyren Williams,RB,LAR,27.3,27.0,21.2,33.4,historical_forward_error_p80:RB,0.995,very_likely,21,36.0,26.0,206.322,37,
30,nfl:gsis:00-0039337,25409,Malik Nabers,WR,NYG,27.0,26.7,19.9,34.2,historical_forward_error_p80:WR,0.995,very_likely,30,29.0,29.0,159.198,40,
