season,internal_player_id,fantasypros_id,player_name,position,nfl_team,drafted,jugg_salary,jugg_owner,espn_salary_cap_value,espn_overall_rank,espn_position_rank,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,player_pool_source
2020,nfl:def:BAL,8020,Baltimore Ravens,DEF,BAL,True,2,Robbie Bagwell,1,172,4,100.0,75.0,112.0,,espn_and_jugg
2020,nfl:def:BUF,8030,Buffalo Bills,DEF,BUF,True,1,Brandon Martin,1,170,2,84.0,93.0,108.38,,espn_and_jugg
2020,nfl:def:CHI,8050,Chicago Bears,DEF,CHI,True,1,Julius Berotte,1,175,7,123.0,97.0,100.91,,espn_and_jugg
2020,nfl:def:CIN,8060,Cincinnati Bengals,DEF,CIN,False,,,0,299,21,,,97.41,,espn
2020,nfl:def:CLE,8070,Cleveland Browns,DEF,CLE,False,,,0,297,19,429.0,,104.03,,espn
2020,nfl:def:DAL,8080,Dallas Cowboys,DEF,DAL,True,1,Phil Carr,0,221,13,171.0,,103.0,,espn_and_jugg
2020,nfl:def:DEN,8090,Denver Broncos,DEF,DEN,False,,,0,222,14,150.0,,100.94,,espn
2020,nfl:def:DET,8100,Detroit Lions,DEF,DET,False,,,0,286,18,,,95.9,,espn
2020,nfl:def:IND,8130,Indianapolis Colts,DEF,IND,True,1,Lee Krassner,1,174,6,119.0,,107.11,,espn_and_jugg
2020,nfl:def:KC,8150,Kansas City Chiefs,DEF,KC,False,,,0,298,20,176.0,115.0,110.33,,espn
2020,nfl:def:LAC,8250,Los Angeles Chargers,DEF,LAC,False,,,0,179,11,179.0,,92.84,,espn
2020,nfl:def:LAR,8280,Los Angeles Rams,DEF,LAR,True,2,Brad Beissner,0,254,16,197.0,,115.32,,espn_and_jugg
2020,nfl:def:MIA,8160,Miami Dolphins,DEF,MIA,False,,,0,300,22,,,91.84,,espn
2020,nfl:def:MIN,8170,Minnesota Vikings,DEF,MIN,False,,,1,176,8,133.0,120.0,111.43,,espn
2020,nfl:def:NE,8180,New England Patriots,DEF,NE,True,2,Joey Breeland,1,173,5,107.0,119.0,114.09,,espn_and_jugg
2020,nfl:def:NO,8190,New Orleans Saints,DEF,NO,False,,,1,177,9,144.0,110.0,110.64,,espn
2020,nfl:def:PHI,8230,Philadelphia Eagles,DEF,PHI,False,,,0,285,17,199.0,,109.66,,espn
2020,nfl:def:PIT,8240,Pittsburgh Steelers,DEF,PIT,True,2,Nate Corbett,1,169,1,81.0,80.0,121.81,,espn_and_jugg
2020,nfl:def:SEA,8260,Seattle Seahawks,DEF,SEA,True,1,George Rodman,0,253,15,172.0,,106.36,,espn_and_jugg
2020,nfl:def:SF,8270,San Francisco 49ers,DEF,SF,True,3,Ken Moller,1,171,3,83.0,62.0,118.89,,espn_and_jugg
2020,nfl:def:TB,8290,Tampa Bay Buccaneers,DEF,TB,False,,,1,178,10,160.0,,108.27,,espn
2020,nfl:def:TEN,8300,Tennessee Titans,DEF,TEN,False,,,0,180,12,182.0,,100.37,,espn
2020,nfl:gsis:00-0019596,9603,Tom Brady,QB,FA,True,4,Nate Corbett,2,117,8,61.0,81.0,317.596,4,espn_and_jugg
2020,nfl:gsis:00-0020531,9200,Drew Brees,QB,FA,True,1,Ken Moller,2,120,11,76.0,72.0,316.857,9,espn_and_jugg
2020,nfl:gsis:00-0022921,9383,Larry Fitzgerald,WR,FA,False,,,0,151,66,161.0,150.0,78.06,1,espn
2020,nfl:gsis:00-0022924,9039,Ben Roethlisberger,QB,FA,False,,,0,164,16,142.0,117.0,290.841,1,espn
2020,nfl:gsis:00-0022942,9509,Philip Rivers,QB,FA,False,,,0,245,26,190.0,156.0,275.684,1,espn
2020,nfl:gsis:00-0023252,9534,Robbie Gould,K,FA,True,1,Ken Moller,1,187,7,134.0,116.0,121.06,1,espn_and_jugg
2020,nfl:gsis:00-0023459,9001,Aaron Rodgers,QB,PIT,True,2,Brad Beissner,1,122,13,93.0,96.0,314.913,27,espn_and_jugg
2020,nfl:gsis:00-0023500,9218,Frank Gore,RB,FA,False,,,0,241,78,,,55.582,,espn
2020,nfl:gsis:00-0023853,9443,Matt Prater,K,FA,True,1,Brandon Martin,1,184,4,120.0,124.0,114.22,1,espn_and_jugg
2020,nfl:gsis:00-0025394,9006,Adrian Peterson,RB,FA,False,,,0,205,67,194.0,174.0,63.454,63,espn
2020,nfl:gsis:00-0025396,9588,Ted Ginn Jr.,WR,FA,False,,,0,260,93,,,40.399,,espn
2020,nfl:gsis:00-0025418,9238,Greg Olsen,TE,FA,False,,,0,259,29,200.0,143.0,60.106,2,espn
2020,nfl:gsis:00-0025580,9433,Mason Crosby,K,FA,True,1,George Rodman,0,287,17,189.0,193.0,110.25,2,espn_and_jugg
2020,nfl:gsis:00-0026035,9146,Danny Amendola,WR,FA,False,,,0,225,81,,,83.67,,espn
2020,nfl:gsis:00-0026143,9444,Matt Ryan,QB,FA,True,1,Phil Carr,2,116,7,82.0,65.0,334.193,23,espn_and_jugg
2020,nfl:gsis:00-0026189,9186,DeSean Jackson,WR,FA,True,1,Julius Berotte,2,102,49,137.0,161.0,110.958,12,espn_and_jugg
2020,nfl:gsis:00-0026498,9451,Matthew Stafford,QB,LAR,True,3,Phil Carr,1,121,12,117.0,103.0,299.206,3,espn_and_jugg
2020,nfl:gsis:00-0027029,9398,LeSean McCoy,RB,FA,False,,,0,206,68,221.0,151.0,44.176,1,espn
2020,nfl:gsis:00-0027061,9265,Jared Cook,TE,FA,True,1,Brandon Martin,2,111,9,86.0,71.0,103.376,3,espn_and_jugg
2020,nfl:gsis:00-0027150,9332,Julian Edelman,WR,FA,True,1,Joey Breeland,4,78,36,79.0,99.0,127.944,11,espn_and_jugg
2020,nfl:gsis:00-0027656,9721,Rob Gronkowski,TE,FA,True,3,Julius Berotte,2,112,10,67.0,77.0,90.076,53,espn_and_jugg
2020,nfl:gsis:00-0027685,9707,Emmanuel Sanders,WR,FA,False,,,2,100,47,116.0,136.0,103.045,6,espn
2020,nfl:gsis:00-0027696,9712,Jimmy Graham,TE,FA,False,,,0,247,24,203.0,129.0,57.907,29,espn
2020,nfl:gsis:00-0027793,9808,Antonio Brown,WR,FA,False,,,0,214,76,243.0,,0.0,39,espn
2020,nfl:gsis:00-0027891,9683,Golden Tate,WR,FA,False,,,2,97,44,122.0,,105.927,12,espn
2020,nfl:gsis:00-0027939,9869,Cam Newton,QB,FA,True,4,Julius Berotte,1,138,15,106.0,114.0,305.977,5,espn_and_jugg
2020,nfl:gsis:00-0027942,9857,A.J. Green,WR,FA,True,7,Brad Beissner,8,63,29,70.0,90.0,132.118,3,espn_and_jugg
2020,nfl:gsis:00-0027944,9867,Julio Jones,WR,FA,True,37,Brandon Martin,36,18,4,15.0,14.0,181.193,53,espn_and_jugg
2020,nfl:gsis:00-0027966,9872,Mark Ingram II,RB,FA,True,14,Phil Carr,9,59,27,64.0,40.0,149.217,12,espn_and_jugg
2020,nfl:gsis:00-0027981,9906,Kyle Rudolph,TE,FA,False,,,0,258,28,193.0,130.0,57.815,,espn
2020,nfl:gsis:00-0028002,9902,Randall Cobb,WR,FA,False,,,0,147,62,186.0,,76.513,46,espn
2020,nfl:gsis:00-0028087,9983,Dion Lewis,RB,FA,False,,,0,265,82,,,38.245,,espn
2020,nfl:gsis:00-0028118,10007,Tyrod Taylor,QB,GB,False,,,0,269,30,,,203.669,,espn
2020,nfl:gsis:00-0028237,11477,Chris Hogan,WR,FA,False,,,0,274,100,,,37.981,,espn
2020,nfl:gsis:00-0028660,10970,Dan Bailey,K,FA,False,,,0,256,16,209.0,,113.1,1,espn
2020,nfl:gsis:00-0029000,11459,Cole Beasley,WR,FA,False,,,0,216,78,220.0,,89.037,,espn
2020,nfl:gsis:00-0029137,11199,Alshon Jeffery,WR,FA,False,,,0,148,63,196.0,,66.346,6,espn
2020,nfl:gsis:00-0029263,11180,Russell Wilson,QB,FA,True,13,Ken Moller,5,76,6,47.0,41.0,344.06,3,espn_and_jugg
2020,nfl:gsis:00-0029293,11215,Marvin Jones Jr.,WR,FA,True,1,Joey Breeland,5,77,35,88.0,106.0,125.219,1,espn_and_jugg
2020,nfl:gsis:00-0029597,11465,Justin Tucker,K,FA,True,5,Lee Krassner,1,181,1,90.0,78.0,126.42,3,espn_and_jugg
2020,nfl:gsis:00-0029604,11177,Kirk Cousins,QB,LV,False,,,0,212,21,173.0,176.0,281.833,,espn
2020,nfl:gsis:00-0029608,11206,T.Y. Hilton,WR,FA,True,6,Joey Breeland,12,51,22,55.0,64.0,138.92,7,espn_and_jugg
2020,nfl:gsis:00-0029621,11345,Greg Zuerlein,K,FA,True,4,Brad Beissner,1,186,6,132.0,102.0,120.32,2,espn_and_jugg
2020,nfl:gsis:00-0029701,11174,Ryan Tannehill,QB,FA,True,1,George Rodman,0,165,17,163.0,175.0,292.436,2,espn_and_jugg
2020,nfl:gsis:00-0029822,13274,Brandon McManus,K,FA,False,,,0,223,13,216.0,,110.12,1,espn
2020,nfl:gsis:00-0030035,13429,Adam Thielen,WR,FA,True,23,Lee Krassner,30,26,10,26.0,29.0,152.088,25,espn_and_jugg
2020,nfl:gsis:00-0030061,11689,Zach Ertz,TE,FA,True,11,Brad Beissner,19,42,4,38.0,43.0,126.105,26,espn_and_jugg
2020,nfl:gsis:00-0030085,11611,Kenny Stills,WR,FA,False,,,0,261,94,,,61.579,,espn
2020,nfl:gsis:00-0030181,11987,Jack Doyle,TE,FA,False,,,0,161,17,166.0,,79.459,,espn
2020,nfl:gsis:00-0030279,11616,Keenan Allen,WR,IND,True,10,Julius Berotte,11,52,23,52.0,57.0,140.905,30,espn_and_jugg
2020,nfl:gsis:00-0030288,11655,Rex Burkhead,RB,FA,False,,,0,235,72,,,54.174,,espn
2020,nfl:gsis:00-0030404,11651,Chris Thompson,RB,FA,False,,,1,140,51,155.0,170.0,88.833,,espn
2020,nfl:gsis:00-0030431,11610,Robert Woods,WR,FA,True,12,Nate Corbett,22,37,19,45.0,61.0,150.838,15,espn_and_jugg
2020,nfl:gsis:00-0030456,11644,Giovani Bernard,RB,FA,False,,,0,207,69,,,61.261,3,espn
2020,nfl:gsis:00-0030496,11645,Le'Veon Bell,RB,FA,True,8,Brad Beissner,14,48,22,46.0,45.0,157.945,53,espn_and_jugg
2020,nfl:gsis:00-0030506,11594,Travis Kelce,TE,KC,True,51,George Rodman,35,20,1,20.0,19.0,161.422,53,espn_and_jugg
2020,nfl:gsis:00-0030513,11821,Latavius Murray,RB,FA,True,1,Phil Carr,2,105,43,131.0,142.0,100.52,3,espn_and_jugg
2020,nfl:gsis:00-0030549,11692,Tyler Eifert,TE,FA,False,,,0,246,23,232.0,168.0,69.784,,espn
2020,nfl:gsis:00-0030564,11606,DeAndre Hopkins,WR,BAL,True,38,Lee Krassner,36,19,5,19.0,20.0,162.442,61,espn_and_jugg
2020,nfl:gsis:00-0030663,12904,Willie Snead IV,WR,FA,False,,,0,294,103,,,51.55,,espn
2020,nfl:gsis:00-0031045,12105,Carlos Hyde,RB,FA,False,,,0,160,60,,183.0,50.356,1,espn
2020,nfl:gsis:00-0031051,12231,John Brown,WR,FA,True,1,George Rodman,2,99,46,126.0,123.0,112.08,,espn_and_jugg
2020,nfl:gsis:00-0031062,12195,James White,RB,FA,True,1,Joey Breeland,3,93,40,101.0,107.0,108.652,5,espn_and_jugg
2020,nfl:gsis:00-0031136,13029,Chris Boswell,K,PIT,True,1,Julius Berotte,1,185,5,140.0,,112.13,,espn_and_jugg
2020,nfl:gsis:00-0031235,12127,Odell Beckham Jr.,WR,NYG,True,25,Phil Carr,28,29,13,33.0,30.0,145.955,47,espn_and_jugg
2020,nfl:gsis:00-0031236,12122,Brandin Cooks,WR,FA,True,1,Phil Carr,4,80,38,92.0,118.0,114.788,18,espn_and_jugg
