season,hybrid_rank,actual_rank,rank_change,team_id,team,games,h2h_points,median_points,hybrid_points,points_for
2006,1,1,0,6,All Business,14,12.0,12.0,24.0,1419.0
2006,2,2,0,3,Fuckin' Soldiers,14,11.0,10.0,21.0,1286.72
2006,3,4,1,2,Cutler for President,14,8.0,10.0,18.0,1255.42
2006,4,3,-1,1,Choke'aBabin,14,8.0,8.0,16.0,1291.96
2006,5,5,0,8,Army of Juice,14,7.0,6.0,13.0,1207.0
2006,6,6,0,5,TEAM Ron Mexico,14,7.0,6.0,13.0,1116.5
2006,7,7,0,4,IamDanBrown!,14,5.0,6.0,11.0,1174.34
2006,8,8,0,7,The Norwalk Army,14,4.0,6.0,10.0,1122.88
2006,9,10,1,10,The U,14,4.0,4.0,8.0,1080.1
2006,10,9,-1,9,GordonBombayReturns,14,4.0,2.0,6.0,1093.14
2007,1,1,0,9,Ron Mexico Dog Pound,14,11.0,12.0,23.0,1587.9
2007,2,2,0,5,LB'sdangerousliasons,14,11.0,10.0,21.0,1304.94
2007,3,3,0,6,House M.D.,14,9.0,8.0,17.0,1241.8
2007,4,4,0,3,CorbinTroyUltimatum,14,7.0,8.0,15.0,1337.06
2007,5,5,0,4,Bitter & Angry,14,7.0,8.0,15.0,1292.06
2007,6,6,0,1,Your Commissioner,14,7.0,8.0,15.0,1282.12
2007,7,7,0,2,Fuckin' Soldiers,14,6.0,7.0,13.0,1229.98
2007,8,8,0,7,I Only Drink 2%,14,6.0,3.0,9.0,1102.68
2007,9,9,0,8,New GM in Town,14,3.0,4.0,7.0,1150.76
2007,10,10,0,10,IwearUsedClothes,14,3.0,2.0,5.0,994.02
2009,1,1,0,4,NoTacoMeatForU,14,12.0,11.0,23.0,1437.84
2009,2,2,0,2,thedangerousliasons,14,8.0,10.0,18.0,1316.78
2009,3,3,0,10,Sultans of Smash IV,14,8.0,8.0,16.0,1292.7
2009,4,7,3,1,SeasonEnding Surgery,14,6.0,9.0,15.0,1309.02
2009,5,4,-1,3,PHILadelphia Beagles,14,8.0,7.0,15.0,1257.08
2009,6,8,2,5,WHO DAT,14,6.0,7.0,13.0,1190.08
2009,7,6,-1,7,CorbinTroyRoyalPains,14,6.5,6.0,12.5,1245.38
2009,8,5,-3,8,Choke'aBabin,14,7.0,5.0,12.0,1184.04
2009,9,9,0,6,The Sinking Ship,14,5.0,3.0,8.0,1087.64
2009,10,10,0,9,All Business,14,3.5,4.0,7.5,1137.32
2010,1,1,0,10,SAM I am,14,9.0,9.0,18.0,1296.82
2010,2,2,0,9,Release The Poison,14,9.0,8.0,17.0,1260.58
2010,3,5,2,4,RobbieCantWinAgain,14,7.0,9.0,16.0,1286.72
2010,4,6,2,7,Sultans of Smash V,14,7.0,8.0,15.0,1282.9
2010,5,3,-2,5,Intervention Corbin,14,8.0,7.0,15.0,1213.58
2010,6,4,-2,1,NoTacoMeatForU,14,8.0,6.0,14.0,1211.2
2010,7,7,0,8,AllBusiness,14,6.0,7.0,13.0,1247.62
2010,8,8,0,2,Choke'aBabin,14,6.0,6.0,12.0,1203.54
2010,9,9,0,3,The Kubs,14,5.0,6.0,11.0,1254.64
2010,10,10,0,6,THEDANGERousliasons,14,5.0,4.0,9.0,1077.54
