season,week,team,opponent_team,def_sacks,def_interceptions,fumble_recovery_opp,def_tds,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,special_teams_tds
2024,1,ARI,BUF,2,0,1,0,0,0,0,0,1
2024,1,ATL,PIT,2,0,0,0,0,0,0,0,0
2024,1,BAL,KC,2,1,0,0,0,0,0,0,0
2024,1,BUF,ARI,4,0,1,0,0,0,0,0,0
2024,1,CAR,NO,1,0,1,0,0,0,0,0,0
2024,1,CHI,TEN,3,2,1,1,0,1,0,0,1
2024,1,CIN,NE,1,0,0,0,0,0,0,0,0
2024,1,CLE,DAL,3,0,0,0,0,0,0,0,0
2024,1,DAL,CLE,6,2,0,0,0,0,0,0,1
2024,1,DEN,SEA,2,1,1,0,2,0,0,0,0
2024,1,DET,LA,2,1,0,0,0,0,0,0,0
2024,1,GB,PHI,2,2,1,0,0,0,0,0,0
2024,1,HOU,IND,2,1,0,0,0,0,0,0,0
2024,1,IND,HOU,4,0,0,0,0,1,0,0,0
2024,1,JAX,MIA,3,0,0,0,0,0,0,0,0
2024,1,KC,BAL,1,0,1,0,0,0,0,0,0
2024,1,LA,DET,2,1,0,0,0,0,0,0,0
2024,1,LAC,LV,3,1,2,0,0,0,0,0,0
2024,1,LV,LAC,1,0,0,0,0,0,0,0,0
2024,1,MIA,JAX,3,0,1,0,0,0,0,0,0
2024,1,MIN,NYG,5,2,0,1,0,0,0,0,0
2024,1,NE,CIN,3,0,2,0,0,0,0,0,0
2024,1,NO,CAR,4,2,1,0,0,0,0,0,0
2024,1,NYG,MIN,1,1,1,0,0,0,0,0,0
2024,1,NYJ,SF,3,0,0,0,0,0,0,0,0
2024,1,PHI,GB,2,1,0,0,0,0,0,0,0
2024,1,PIT,ATL,2,2,1,0,0,0,0,0,0
2024,1,SEA,DEN,2,2,1,0,0,0,0,0,0
2024,1,SF,NYJ,1,1,1,0,0,0,0,0,0
2024,1,TB,WAS,2,0,0,0,0,0,0,0,0
2024,1,TEN,CHI,2,0,1,0,0,0,0,0,0
2024,1,WAS,TB,1,0,0,0,0,0,0,0,0
2024,2,ARI,LA,5,0,1,0,0,0,0,0,0
2024,2,ATL,PHI,1,1,0,0,0,0,0,0,0
2024,2,BAL,LV,5,1,0,0,0,0,0,0,0
2024,2,BUF,MIA,2,3,0,1,0,0,0,0,0
2024,2,CAR,LAC,1,1,1,0,0,0,0,0,0
2024,2,CHI,HOU,3,0,1,0,0,0,0,0,0
2024,2,CIN,KC,2,2,1,0,0,0,0,0,0
2024,2,CLE,JAX,4,0,0,0,1,0,0,0,0
2024,2,DAL,NO,1,1,0,0,0,0,1,0,0
2024,2,DEN,PIT,2,0,0,0,0,0,0,0,0
2024,2,DET,TB,5,1,0,0,0,0,0,0,0
2024,2,GB,IND,1,3,0,0,0,0,0,0,0
2024,2,HOU,CHI,7,2,0,0,0,0,0,0,0
2024,2,IND,GB,0,0,1,0,0,0,0,0,0
2024,2,JAX,CLE,2,0,0,0,0,0,0,0,0
2024,2,KC,CIN,3,0,1,0,0,0,0,0,0
2024,2,LA,ARI,1,0,1,0,0,0,0,0,0
2024,2,LAC,CAR,2,1,0,0,0,0,0,0,0
2024,2,LV,BAL,2,1,0,0,0,0,0,0,0
2024,2,MIA,BUF,0,0,0,0,0,0,0,0,0
2024,2,MIN,SF,5,1,1,0,0,1,0,0,0
2024,2,NE,SEA,3,0,0,0,0,0,0,0,0
2024,2,NO,DAL,3,2,0,0,0,0,0,0,0
2024,2,NYG,WAS,5,0,0,0,0,0,0,0,0
2024,2,NYJ,TEN,4,1,1,0,0,1,0,0,0
2024,2,PHI,ATL,1,0,0,0,0,0,0,0,0
2024,2,PIT,DEN,2,2,0,0,0,0,0,0,0
2024,2,SEA,NE,3,0,0,0,0,0,0,1,0
2024,2,SF,MIN,4,1,1,0,0,0,0,0,0
2024,2,TB,DET,0,2,0,0,0,0,0,0,0
2024,2,TEN,NYJ,2,0,0,0,0,0,0,0,0
2024,2,WAS,NYG,1,0,1,0,0,0,0,0,0
2024,3,ARI,DET,2,1,0,0,0,0,0,0,0
2024,3,ATL,KC,0,1,0,0,0,0,0,0,0
2024,3,BAL,DAL,2,0,1,0,0,0,0,0,0
2024,3,BUF,JAX,5,1,1,0,0,0,0,0,0
2024,3,CAR,LV,3,1,0,0,0,0,0,0,0
2024,3,CHI,IND,1,2,0,0,0,0,0,0,0
2024,3,CIN,WAS,2,0,0,0,0,0,0,0,0
2024,3,CLE,NYG,2,0,2,0,0,0,0,0,0
2024,3,DAL,BAL,0,0,0,0,0,0,0,0,0
2024,3,DEN,TB,7,1,1,0,0,0,0,0,0
2024,3,DET,ARI,1,1,0,0,0,0,0,0,0
2024,3,GB,TEN,8,2,1,1,0,0,0,0,0
2024,3,HOU,MIN,4,0,0,0,0,0,0,0,0
2024,3,IND,CHI,4,2,1,0,0,0,0,0,0
2024,3,JAX,BUF,0,0,0,0,0,0,1,0,0
2024,3,KC,ATL,2,1,0,0,0,0,0,0,0
2024,3,LA,SF,1,0,1,0,0,0,0,0,0
2024,3,LAC,PIT,2,1,0,0,0,0,0,0,0
2024,3,LV,CAR,2,0,0,0,0,0,0,0,0
2024,3,MIA,SEA,3,2,0,0,0,0,0,0,0
2024,3,MIN,HOU,5,2,0,0,0,0,0,0,0
2024,3,NE,NYJ,2,0,0,0,0,0,0,0,0
2024,3,NO,PHI,4,1,1,0,0,1,0,0,0
2024,3,NYG,CLE,8,0,2,0,0,0,0,0,0
2024,3,NYJ,NE,7,0,1,0,0,0,0,0,0
2024,3,PHI,NO,1,1,0,0,0,0,0,0,0
