season,week,team,full_name,position,status,birth_date,years_exp,gsis_id,espn_id,yahoo_id,pfr_id,pff_id,sleeper_id
2025,19,GB,Dante Barnett,DL,DEV,,0,,,,,,
2025,18,IND,Philip Rivers,QB,INA,1981-12-08,21,00-0022942,5529,6763,RivePh00,1725,331
2025,19,PIT,Aaron Rodgers,QB,ACT,1983-12-02,20,00-0023459,8439,7200,RodgAa00,2241,96
2025,20,BUF,Matt Prater,K,ACT,1984-08-10,19,00-0023853,11122,8565,PratMa20,3471,17
2025,21,DEN,Marcedes Lewis,TE,DEV,1984-05-19,19,00-0024243,9614,7777,LewiMa00,2973,111
2025,18,NYJ,Nick Folk,K,ACT,1984-11-05,18,00-0025565,10621,8432,FolkNi20,3794,650
2025,19,CAR,J.J. Jansen,LS,ACT,1986-01-20,17,00-0026027,,,,,
2025,18,CIN,Joe Flacco,QB,ACT,1985-01-16,17,00-0026158,11252,8795,FlacJo00,4332,19
2025,18,ARI,Calais Campbell,DL,ACT,1986-09-01,17,00-0026190,11284,8827,CampCa99,4364,125
2025,18,WAS,Josh Johnson,QB,ACT,1986-05-15,17,00-0026300,11394,8937,JohnJo05,4474,260
2025,21,LA,Matthew Stafford,QB,ACT,1988-02-07,16,00-0026498,12483,9265,StafMa00,4924,421
2025,18,NYG,Graham Gano,K,RES,1987-04-09,16,00-0026858,12460,9526,GanoGr44,5443,503
2025,20,SF,Thomas Morstead,P,ACT,1986-03-08,16,00-0027114,12701,9428,MorsTh00,5088,445
2025,20,SF,Jon Weeks,LS,ACT,1986-02-17,15,00-0027224,,,,,
2025,18,TEN,Morgan Cox,LS,ACT,1986-04-26,15,00-0027557,,,,,
2025,20,SF,Trent Williams,OL,ACT,1988-07-19,15,00-0027857,,,,,
2025,19,PHI,Brandon Graham,DL,ACT,1988-04-03,15,00-0027865,13239,23988,GrahBr99,5538,583
2025,18,TB,Jason Pierre-Paul,DL,ACT,1989-01-01,15,00-0027867,13256,23990,PierJa99,5540,720
2025,18,WAS,Von Miller,LB,ACT,1989-03-26,14,00-0027940,13976,24789,MillVo00,6154,871
2025,18,DAL,Tyron Smith,OL,RET,1990-12-12,14,00-0027947,,,,,
2025,18,NO,Cameron Jordan,LB,ACT,1989-07-10,14,00-0027962,13971,24811,JordCa00,6176,957
2025,19,PIT,Cameron Heyward,DL,ACT,1989-05-06,14,00-0027969,13977,24818,HeywCa01,6183,843
2025,19,CAR,Andy Dalton,QB,ACT,1987-10-29,14,00-0027973,14012,24822,DaltAn00,6187,829
2025,18,NYJ,Tyrod Taylor,QB,INA,1989-08-03,14,00-0028118,14163,24967,TaylTy00,6332,827
2025,18,WAS,Nick Bellore,LB,ACT,1989-05-12,14,00-0028292,14471,25295,BellNi01,6515,815
2025,21,LA,Jake McQuaide,LS,ACT,1987-12-07,14,00-0028394,,,,,
2025,19,LAC,Josh Harris,LS,ACT,1989-04-27,13,00-0028845,15151,26168,HarrJo02,7748,1238
2025,18,TEN,Johnny Hekker,P,ACT,1990-02-08,13,00-0028872,15153,26350,HekkJo00,7252,1202
