"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Patrick Mahomes","KC","QB","13116","weighted",4896.60094,215.48393780175,38.14836,2.84580769614119,11.2083,1.09220038130242,340.38086,23.7043215593846,2.86166,0.359070555736316,1.277015,0.15361672046271,2.73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-17,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","weighted",4663.58736,229.341012744854,30.64014,2.4715525807908,12.39966,1.6739086144567,209.88074,35.2790341959776,1.53054,0.514092772313884,1.415505,0.466696466925193,2.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-10,NA,NA,NA,NA
"Joe Burrow","CIN","QB","14777","weighted",4568.7119,172.558121701199,33.3013,2.41755747899928,13.10252,0.86626794661677,268.13748,75.5229640478586,3.66508,1.00786649001134,1.90315,0.667384462116075,2.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1996-12-10,NA,NA,NA,NA
"Kirk Cousins","MIN","QB","10700","weighted",4457.46336,128.569863876757,30.1024,1.38864545151991,12.56708,0.856977797505684,95.32102,14.1624488384751,1.3669,0.482599551144915,2.1829525,0.719997853579569,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-08-19,NA,NA,NA,NA
"Josh Allen","BUF","QB","13589","weighted",4351.82062,190.508458209386,32.89864,2.55922915535388,14.67768,2.26778849748302,703.9821,64.5102965040972,6.28424,0.976585747111177,3.769865,0.807757980427322,2.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1996-05-21,NA,NA,NA,NA
"Jared Goff","DET","QB","12611","weighted",4267.99228,209.474175198633,27.78316,2.80039655382758,10.18666,2.50699825292103,82.58006,13.3502041320994,0.79642,0.790029340446587,3.40313,1.03905411393615,3.76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1994-10-14,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",4154.66788,191.302592678085,29.36744,1.98909321853848,14.22798,1.90090369313449,243.33874,38.6270809100821,1.96246,0.79145066436935,2.699955,0.404327372165225,2.62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1993-07-29,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4030.64336,313.040943186102,24.5636,3.39982811326758,14.13126,2.20443328651477,70.5943,26.9394724042907,0.77418,0.537884969427378,2.812865,0.906209425717632,1.41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1988-02-07,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4030.64336,313.040943186102,24.5636,3.39982811326758,14.13126,2.20443328651477,70.5943,26.9394724042907,0.77418,0.537884969427378,2.812865,0.906209425717632,1.41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2003-05-23,NA,NA,NA,NA
"Tua Tagovailoa","MIA","QB","14778","weighted",4145.7584,245.605415606479,27.42318,3.03877536640603,12.30122,1.48288034727482,122.2533,16.8666121504293,1.38422,0.452623857692815,1.37699,0.303521245410066,0.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-02,NA,NA,NA,NA
