"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Joe Burrow","CIN","QB","14777","weighted",4631.10321885522,146.041676631637,37.4673602693603,3.43310015472676,10.5256498316498,1.42767364560983,187.846404040404,19.8414023125972,2.03363636363636,0.643708664043199,3.77301346801347,0.340084587742676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1996-12-10,NA,NA,NA,NA
"Tua Tagovailoa","MIA","QB","14778","weighted",4116.78393265993,381.194937794352,26.7829427609428,2.6849042904079,11.4231986531987,1.16577347838761,90.4375757575758,26.7447283411093,0.693178451178451,0.434498633903626,3.6240404040404,0.261170911421685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-02,NA,NA,NA,NA
"Brock Purdy","SF","QB","15698","weighted",4239.34756902357,265.580396718913,27.4886464646465,2.40000598900363,12.3403367003367,0.899593812522367,276.386235690236,25.0832065097363,3.3346936026936,0.738773143800745,2.6240404040404,0.261170911421685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-12-27,NA,NA,NA,NA
"Jared Goff","DET","QB","12611","weighted",4339.25455218855,121.097206175971,30.9073737373737,4.30231928466936,11.7210909090909,1.01689260213882,73.0768619528619,46.3943104602697,0.626949494949495,0.495252764911711,2.28215488215488,0.536586116773694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1994-10-14,NA,NA,NA,NA
"C.J. Stroud","HOU","QB","16150","weighted",4101.05096296296,232.829585911803,25.4084175084175,2.76253771030693,10.7843434343434,0.494229685612904,249.430249158249,54.6938879884087,1.84157575757576,1.12283635921141,3.53569023569024,0.253387298009798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-10-03,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4059.48175757576,262.06976603431,26.7081683501684,2.62600057960018,10.2267205387205,1.93248940266768,72.5894410774411,55.7690042577382,0.641939393939394,0.63904121536449,2.00013468013468,0.114112505234663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1988-02-07,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4059.48175757576,262.06976603431,26.7081683501684,2.62600057960018,10.2267205387205,1.93248940266768,72.5894410774411,55.7690042577382,0.641939393939394,0.63904121536449,2.00013468013468,0.114112505234663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2003-05-23,NA,NA,NA,NA
"Baker Mayfield","TB","QB","13590","weighted",4188.50977104377,125.701958712331,33.407771043771,2.89319258891528,14.4776902356902,1.56286467785177,288.826228956229,36.9061498918581,2.30916498316498,0.449324681036075,3.6189898989899,0.26380294375733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1995-04-14,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",4191.60210774411,174.337011911383,28.1705252525253,2.55351526976098,12.1752929292929,1.59388311889667,170.966417508417,28.8402874344222,1.78773063973064,0.392760358634762,2.48659932659933,0.292006723678225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1993-07-29,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","weighted",4167.23657912458,234.991239431746,31.3195824915825,2.66534483726644,11.6957508417508,0.65478861278721,362.741178451178,45.470748147872,2.68121212121212,0.833134249844306,2.05531986531987,0.0725350873596486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-17,NA,NA,NA,NA
"Trevor Lawrence","JAC","QB","15237","weighted",4020.9274006734,274.556943179186,24.6327676767677,2.39177365330279,12.9152053872054,1.03544544650315,255.591521885522,18.1223692516701,3.31497643097643,0.754832275270883,3.90621212121212,0.11886581231992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-10-06,NA,NA,NA,NA
"Geno Smith","LVR","QB","11150","weighted",3973.1435016835,317.848256709264,23.0502491582492,3.35364501360897,12.8883097643098,1.68774725759615,239.656006734007,34.2555778413281,1.73084848484848,0.443070058716994,2.01723905723906,0.531086373768404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,1990-10-10,NA,NA,NA,NA
"Joe Flacco","CLE","QB","9064","weighted",2412.54935353535,1003.77740476501,14.1770976430976,8.10192010543118,10.8476026936027,6.02167446612258,48.8365858585859,46.2460921062946,0.483286195286195,0.481202219325824,4.28112794612795,0.772219410580374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1985-01-16,NA,NA,NA,NA
"Josh Allen","BUF","QB","13589","weighted",3900.51439057239,171.393819295071,29.300101010101,2.29705504557659,10.257265993266,1.75998313659811,569.169818181818,45.0844236931185,11.4285050505051,1.13740996056866,2.31560606060606,0.456262633662856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1996-05-21,NA,NA,NA,NA
"Caleb Williams","CHI","QB","16579","weighted",3798.63843771044,238.793839778423,25.8544646464646,4.2398844489766,10.0246734006734,1.32484100731643,474.8192996633,54.2178122490346,2.16773737373737,1.13823264379379,4.77845117845118,0.38353775134106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2001-11-18,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","weighted",3952.51334006734,215.450633153986,26.3057777777778,2.26591712641189,8.01492255892256,1.83641070647201,282.349023569024,27.0153080283473,2.7467138047138,0.556299471469152,1.82885521885522,0.325761582068931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-10,NA,NA,NA,NA
"Lamar Jackson","BAL","QB","13593","weighted",3817.81950841751,180.375734837806,33.5035353535353,3.15490794401896,8.08159595959596,1.59492408367358,844.749555555556,60.3229526533017,3.98207407407407,0.579868021110107,4.6956734006734,0.322909236786425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1997-01-07,NA,NA,NA,NA
"Michael Penix Jr.","ATL","QB","16583","weighted",3899.74023569024,197.333401444597,24.0678720538721,2.43843729155622,13.4939191919192,2.03391391724579,178.287898989899,69.6675969031048,2.32872053872054,0.746168579507309,2.61355218855219,0.268560270147266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-05-08,NA,NA,NA,NA
